 Time   	 Speed  	 Elev.  	  HR    	  BF    	  V'E   	 V'O2   	VO2/kg  	 V'CO2  	  RER   	 SpO2   	 FEO2   	 FECO2  
  min   	  mph   	   %    	 1/min  	 1/min  	 L/min  	ml/min  	  ml/   	ml/min  	        	   %    	   %    	   %    
        	        	        	        	        	        	        	min/kg  	        	        	        	        	        
  00:10 	  0.0   	  0.0   	     0  	    15  	    22  	   640  	  6.8   	   504  	 0.79   	     0  	 16.88  	 2.85   
  00:20 	  0.0   	  0.0   	     0  	    13  	    22  	   577  	  6.1   	   547  	 0.95   	     0  	 17.08  	 2.68   
  00:30 	  0.0   	  0.0   	     0  	    12  	    23  	   643  	  6.8   	   613  	 0.95   	     0  	 16.80  	 2.88   
  00:40 	  0.0   	  0.0   	     0  	     8  	    26  	   703  	  7.4   	   699  	 0.99   	     0  	 16.70  	 3.02   
  00:50 	  0.0   	  0.0   	     0  	     7  	    21  	   386  	  4.1   	   468  	 1.21   	     0  	 17.88  	 2.25   
  01:00 	  0.0   	  0.0   	     0  	     9  	    26  	   562  	  5.9   	   619  	 1.10   	     0  	 17.49  	 2.50   
  01:10 	  0.0   	  0.0   	     0  	    11  	    18  	   384  	  4.1   	   395  	 1.03   	     0  	 17.53  	 2.24   
  01:20 	  0.0   	  0.0   	     0  	    14  	    13  	   292  	  3.1   	   270  	 0.92   	     0  	 17.63  	 1.94   
  01:30 	  0.0   	  0.0   	     0  	    26  	    28  	   716  	  7.6   	   653  	 0.91   	     0  	 17.48  	 1.93   
  01:40 	  0.0   	  0.0   	     0  	    19  	    15  	   263  	  2.8   	   234  	 0.89   	     0  	 18.41  	 1.01   
  01:50 	  0.0   	  0.0   	     0  	    26  	    19  	   446  	  4.7   	   362  	 0.81   	     0  	 17.40  	 1.78   
  02:00 	  0.0   	  0.0   	     0  	    19  	    17  	   509  	  5.4   	   381  	 0.75   	     0  	 17.23  	 1.67   
  02:10 	  0.0   	  0.0   	     0  	    11  	     6  	   219  	  2.3   	   154  	 0.70   	     0  	 17.74  	 1.12   
  02:20 	  0.0   	  0.0   	     0  	    21  	    13  	   397  	  4.2   	   268  	 0.67   	     0  	 16.55  	 1.91   
  02:30 	  0.0   	  0.0   	     0  	    15  	     9  	   263  	  2.8   	   168  	 0.64   	     0  	 16.67  	 1.56   
  02:40 	  0.0   	  0.0   	     0  	    19  	    16  	   548  	  5.8   	   346  	 0.63   	     0  	 15.74  	 2.09   
  02:50 	  0.0   	  0.0   	     0  	    17  	    14  	   556  	  5.9   	   348  	 0.63   	     0  	 15.21  	 2.46   
  03:00 	  0.0   	  0.0   	     0  	    17  	    14  	   528  	  5.6   	   340  	 0.64   	     0  	 15.55  	 2.22   
  03:10 	  0.0   	  0.0   	     0  	    22  	    14  	   395  	  4.2   	   261  	 0.66   	     0  	 16.47  	 1.63   
  03:20 	  0.0   	  0.0   	     0  	    24  	    11  	   385  	  4.1   	   229  	 0.59   	     0  	 16.28  	 1.60   
  03:30 	  0.0   	  0.0   	     0  	    17  	    18  	   639  	  6.8   	   438  	 0.68   	     0  	 15.57  	 2.32   
  03:40 	  0.0   	  0.0   	     0  	    20  	    12  	   395  	  4.2   	   253  	 0.64   	     0  	 16.12  	 1.82   
  03:50 	  0.0   	  0.0   	     0  	    22  	    16  	   522  	  5.5   	   355  	 0.68   	     0  	 16.02  	 2.01   
  04:00 	  0.0   	  0.0   	     0  	    19  	    19  	   614  	  6.5   	   432  	 0.70   	     0  	 16.08  	 2.10   
  04:10 	  0.0   	  0.0   	     0  	    25  	     9  	   196  	  2.1   	   127  	 0.65   	     0  	 17.61  	 0.82   
  04:20 	  0.0   	  0.0   	     0  	    22  	    22  	   889  	  9.4   	   589  	 0.66   	     0  	 15.11  	 2.47   
  04:30 	  0.0   	  0.0   	     0  	    22  	    19  	   588  	  6.2   	   427  	 0.73   	     0  	 16.08  	 2.05   
  04:40 	  0.0   	  0.0   	     0  	    21  	    20  	   665  	  7.0   	   494  	 0.74   	     0  	 15.53  	 2.40   
  04:50 	  0.0   	  0.0   	     0  	    18  	    13  	   365  	  3.9   	   273  	 0.75   	     0  	 16.55  	 1.76   
  05:00 	  0.0   	  0.0   	     0  	    28  	    15  	   377  	  4.0   	   268  	 0.71   	     0  	 17.12  	 1.33   
